RecordNo,endtime,qweek,is_confident,gender,age,region,household_children,employment_status,trust_Vac,worried_COVID,worried_VacSide,believe_VacEffect,freq_facemask,freq_handSanitizer,freq_avoidppl,freq_avoidHospital,freq_avoidCrowd,will_isolate,feel_worried,covid_is_dangerous,will_get_covid,social_outdoors,social_indoors,freq_avoidMixOthers,freq_avoidOvernight,freq_avoidTraveling,had_covid,vac_boost_beyond,covid_impact_future,work_outside,has_disease,vac_mandatory
44994,2022-02-11 22:00:00,47,False,Male,41,Quebec / Québec,1 or 2,Not working,1,3,5,3,5,5,5,1,3,Yes,Yes,5,7,Yes,Yes,5,5,5,,1.0,3.0,,,No
44995,2022-02-13 16:24:00,47,True,Male,68,Quebec / Québec,1 or 2,Retired,3,2,2,5,5,5,5,5,5,Yes,No,6,2,No,No,5,5,5,,5.0,3.0,,,Yes
44996,2022-02-11 21:08:00,47,False,Male,24,Quebec / Québec,None,Full time employment,0,2,2,5,1,3,3,1,1,Not sure,Prefer not to say,2,2,No,No,4,4,5,,,1.0,Yes,,Yes
44997,2022-02-11 21:13:00,47,False,Female,23,Quebec / Québec,None,Unemployed,0,1,1,1,2,2,4,3,3,No,Yes,5,3,No,No,3,5,5,,,1.0,,,No
44998,2022-02-11 21:19:00,47,False,Female,21,Quebec / Québec,More than 3,Retired,2,5,5,5,5,5,5,5,5,No,No,1,1,No,Yes,5,5,5,,,5.0,,No,Yes
44999,2022-02-11 21:37:00,47,False,Female,33,Quebec / Québec,None,Full time employment,2,1,1,3,5,4,5,5,3,Yes,No,1,2,No,No,4,3,3,,2.0,3.0,Yes,,No
45000,2022-02-11 21:39:00,47,False,Female,21,Quebec / Québec,1 or 2,Full time student,2,1,4,5,5,5,1,5,2,Yes,No,1,4,Yes,No,3,1,5,,,3.0,,,Yes
45001,2022-02-11 21:42:00,47,False,Male,21,Quebec / Québec,1 or 2,Other,1,5,5,5,5,4,2,4,4,No,No,3,1,No,Yes,4,5,5,,,5.0,,,Yes
45002,2022-02-11 21:43:00,47,False,Female,26,Quebec / Québec,None,Other,2,3,3,2,5,5,4,4,4,Yes,Yes,4,3,No,No,3,3,5,,2.0,3.0,,,Yes
45003,2022-02-11 21:48:00,47,True,Male,59,Quebec / Québec,None,Full time employment,2,2,2,2,5,4,5,5,5,Yes,No,7,5,Yes,Yes,5,5,5,,5.0,3.0,Yes,,Yes
45004,2022-02-11 21:50:00,47,True,Male,41,Quebec / Québec,More than 3,Not working,1,3,3,4,4,3,3,3,4,No,Yes,2,2,No,Yes,5,4,5,,,3.0,,,Yes
45005,2022-02-13 18:03:00,47,True,Female,73,Quebec / Québec,None,Retired,3,4,4,5,5,5,5,5,5,Yes,No,3,1,No,Yes,5,5,5,,5.0,3.0,,,Yes
45007,2022-02-11 22:11:00,47,False,Male,73,Quebec / Québec,None,Retired,3,1,1,5,5,5,5,4,3,Yes,No,2,1,Yes,Yes,5,5,5,,5.0,1.0,,,Yes
45008,2022-02-11 22:14:00,47,False,Female,68,Quebec / Québec,None,Retired,0,1,5,1,5,5,5,5,5,No,Prefer not to say,3,1,No,No,4,5,5,,,2.0,,,No
45009,2022-02-11 22:14:00,47,False,Male,36,Quebec / Québec,None,Not working,0,1,5,5,5,5,5,1,5,Yes,Yes,1,1,No,No,1,3,1,,,3.0,,,No
45010,2022-02-11 22:20:00,47,True,Female,46,Quebec / Québec,1 or 2,Part time employment,2,1,3,3,5,5,5,1,1,No,Yes,4,4,Yes,No,1,1,1,,5.0,3.0,Yes,,No
45011,2022-02-11 22:23:00,47,True,Female,33,Alberta,None,Unemployed,2,1,4,4,5,4,5,5,5,Yes,Yes,3,2,No,No,5,5,5,,,3.0,,No,Yes
45012,2022-02-11 22:25:00,47,False,Female,31,Quebec / Québec,1 or 2,Full time student,1,3,5,2,4,5,5,1,4,No,No,3,4,No,No,4,5,5,,,4.0,,,No
45013,2022-02-11 22:27:00,47,False,Male,74,Quebec / Québec,None,Retired,0,1,5,3,4,5,2,1,2,No,Yes,1,2,No,No,1,5,3,,,2.0,,,No
45014,2022-02-11 22:30:00,47,True,Female,73,Quebec / Québec,None,Retired,3,2,2,4,5,5,5,3,3,Yes,No,3,2,No,No,4,3,4,,2.0,3.0,,,No
45015,2022-02-11 22:33:00,47,False,Female,29,Quebec / Québec,None,Other,0,1,5,2,5,5,3,1,1,No,No,1,4,No,No,1,5,5,,,3.0,,,No
45016,2022-02-11 22:37:00,47,False,Male,64,Quebec / Québec,None,Full time employment,2,3,3,3,5,5,5,5,5,No,No,4,4,No,No,5,5,5,,,3.0,Yes,,Yes
45017,2022-02-11 22:49:00,47,False,Male,62,Quebec / Québec,None,Retired,3,2,4,2,5,5,5,5,5,Yes,No,4,4,No,No,5,5,5,,5.0,3.0,,,Yes
45018,2022-02-11 22:55:00,47,False,Male,19,Quebec / Québec,None,Part time employment,0,1,1,1,1,2,1,5,4,No,No,1,1,Yes,Yes,1,1,1,,1.0,3.0,Yes,,Yes
45020,2022-02-11 23:00:00,47,True,Male,64,Quebec / Québec,None,Retired,3,4,4,5,5,5,5,4,4,No,No,6,2,No,No,4,5,5,,5.0,4.0,,,No
45021,2022-02-11 23:07:00,47,False,Male,65,Ontario,None,Part time employment,1,3,1,4,1,5,5,1,5,Yes,No,5,5,No,No,1,1,1,,5.0,3.0,Yes,Yes,Yes
45022,2022-02-11 23:08:00,47,False,Female,22,Quebec / Québec,1 or 2,Full time employment,2,1,2,4,5,4,5,5,3,Yes,No,2,3,No,Yes,3,4,5,,3.0,3.0,Yes,,Yes
45023,2022-02-11 23:39:00,47,False,Female,32,Alberta,None,Part time employment,3,4,2,4,2,4,4,1,3,Yes,No,2,4,No,No,1,1,1,,5.0,2.0,Yes,No,Yes
45024,2022-02-11 23:40:00,47,False,Female,18,Quebec / Québec,None,Full time employment,1,1,2,3,5,2,5,5,1,Yes,Yes,3,4,No,No,2,3,4,,,3.0,Yes,,No
45025,2022-02-11 23:48:00,47,False,Male,21,Quebec / Québec,More than 3,Not working,2,4,5,3,4,4,3,5,4,Yes,No,5,2,No,No,4,3,3,,,4.0,,,Yes
45026,2022-02-12 00:40:00,47,True,Male,62,Quebec / Québec,None,Full time employment,2,3,5,2,5,5,4,4,4,Yes,No,5,3,No,No,4,5,5,,4.0,2.0,Yes,,Yes
45027,2022-02-12 00:02:00,47,False,Female,51,Quebec / Québec,More than 3,Full time employment,1,1,5,2,5,5,5,5,5,Yes,No,1,5,No,No,5,5,5,,,2.0,No,No,No
45028,2022-02-12 00:03:00,47,True,Male,80,Quebec / Québec,None,Retired,3,5,5,5,5,4,4,5,5,No,No,7,1,No,No,5,5,5,,5.0,3.0,,,Yes
45029,2022-02-12 00:03:00,47,False,Male,48,Quebec / Québec,1 or 2,Full time employment,1,3,3,2,5,4,4,5,5,Yes,Yes,3,4,No,No,5,4,5,,4.0,3.0,Yes,,Yes
45030,2022-02-12 00:06:00,47,True,Male,61,Quebec / Québec,None,Retired,2,4,2,4,5,4,3,3,3,Yes,No,6,5,Yes,No,3,4,4,,5.0,2.0,,,Yes
45032,2022-02-12 00:08:00,47,True,Female,22,Quebec / Québec,None,Full time student,1,5,5,4,5,5,3,2,4,Yes,No,7,1,No,Yes,2,5,3,,,5.0,,Yes,Yes
45033,2022-02-12 00:25:00,47,True,Male,84,Quebec / Québec,None,Retired,1,1,1,2,5,3,1,2,5,No,Yes,1,1,Yes,Yes,2,5,2,,3.0,3.0,,,No
45034,2022-02-12 00:34:00,47,False,Male,59,Quebec / Québec,None,Part time employment,2,4,2,4,5,5,5,5,5,No,Yes,5,3,No,No,5,5,5,,5.0,2.0,Yes,,Yes
45035,2022-02-12 00:34:00,47,False,Female,63,Quebec / Québec,None,Retired,3,2,1,5,5,5,4,4,5,Yes,Yes,3,3,No,No,5,5,5,,5.0,3.0,,,Yes
45036,2022-02-12 00:35:00,47,True,Male,64,Quebec / Québec,None,Full time employment,3,2,3,3,5,5,3,5,3,No,No,3,3,Yes,No,3,5,3,,5.0,2.0,Yes,,Yes
45037,2022-02-12 00:44:00,47,True,Female,66,Quebec / Québec,1 or 2,Retired,2,3,2,5,5,5,5,5,5,Yes,No,5,5,No,No,5,5,5,,,3.0,,No,Yes
45038,2022-02-12 00:46:00,47,False,Male,76,British Columbia / Colombie Britanique,1 or 2,Retired,2,4,5,3,5,4,4,2,1,Not sure,No,3,7,No,Yes,3,3,3,,1.0,3.0,,Yes,No
45039,2022-02-12 00:46:00,47,True,Female,42,Quebec / Québec,More than 3,Unemployed,1,3,3,3,5,4,5,5,5,No,No,3,4,No,No,5,5,5,,,3.0,,,Yes
45040,2022-02-12 00:53:00,47,False,Female,47,Quebec / Québec,None,Full time employment,2,2,3,2,5,5,5,2,3,No,No,2,4,No,Yes,4,3,2,,2.0,2.0,Yes,,Yes
45041,2022-02-12 00:55:00,47,True,Female,65,Ontario,More than 3,Retired,2,4,1,3,5,4,5,5,5,Yes,No,7,4,No,Yes,5,5,4,,4.0,3.0,,Yes,Yes
45042,2022-02-12 00:58:00,47,False,Female,31,Quebec / Québec,1 or 2,Full time student,1,3,1,1,1,4,5,1,1,Yes,No,1,7,No,No,5,5,1,,,3.0,,,No
45043,2022-02-12 01:08:00,47,False,Female,35,Quebec / Québec,More than 3,Full time employment,1,1,4,1,1,1,1,1,1,No,No,1,6,No,No,1,1,1,,,3.0,Yes,,No
45044,2022-02-12 01:15:00,47,False,Male,58,Quebec / Québec,1 or 2,Part time employment,1,1,5,3,4,3,5,2,3,Not sure,No,3,3,No,No,3,5,1,,3.0,3.0,Yes,,No
45045,2022-02-12 01:27:00,47,False,Female,21,Quebec / Québec,More than 3,Unemployed,0,4,5,2,5,2,5,4,3,Yes,Yes,7,4,No,No,5,5,4,,,3.0,,Yes,No
45046,2022-02-12 01:34:00,47,False,Female,19,Quebec / Québec,None,Full time employment,0,1,3,1,4,5,2,1,1,Yes,Yes,4,5,Yes,Yes,1,1,1,,,4.0,Yes,,No
45047,2022-02-12 01:38:00,47,True,Female,69,Quebec / Québec,None,Retired,3,4,1,5,5,5,5,1,5,Yes,No,6,1,No,No,4,5,5,,5.0,2.0,,,Yes
45048,2022-02-12 01:46:00,47,True,Female,50,British Columbia / Colombie Britanique,None,Retired,1,2,2,3,5,1,5,5,5,Yes,No,2,7,No,No,5,5,4,,1.0,5.0,,No,Yes
45049,2022-02-12 02:16:00,47,False,Male,73,Ontario,None,Retired,2,2,2,4,5,5,5,5,5,Yes,No,7,2,No,No,5,5,5,,,3.0,,Yes,No
45050,2022-02-12 02:30:00,47,True,Female,45,Ontario,More than 3,Full time employment,2,3,3,4,5,5,5,5,5,Yes,Yes,1,4,No,No,5,5,5,,,3.0,No,No,Yes
45051,2022-02-14 22:54:00,47,False,Female,64,Quebec / Québec,None,Retired,1,5,3,3,5,5,1,1,1,No,Prefer not to say,7,4,No,No,3,5,2,,4.0,3.0,,,No
45052,2022-02-12 03:35:00,47,False,Female,36,Saskatchewan,More than 3,Full time employment,2,1,3,3,5,5,5,3,3,No,Yes,5,5,No,Yes,3,3,3,,3.0,3.0,No,Yes,Yes
45053,2022-02-12 07:02:00,47,False,Female,74,British Columbia / Colombie Britanique,None,Part time employment,0,2,5,1,1,3,1,1,5,Yes,No,2,4,No,No,5,1,1,,,3.0,No,No,No
45054,2022-02-12 09:47:00,47,True,Male,63,British Columbia / Colombie Britanique,1 or 2,Retired,2,2,2,5,5,4,5,3,5,Yes,No,3,3,No,No,3,3,3,,5.0,2.0,,Yes,Yes
45055,2022-02-12 12:02:00,47,True,Female,63,British Columbia / Colombie Britanique,None,Retired,3,2,1,5,4,5,5,5,5,No,No,4,5,No,No,5,5,5,,5.0,3.0,,Yes,Yes
45056,2022-02-12 12:24:00,47,False,Male,55,Saskatchewan,None,Full time employment,1,2,3,2,5,4,5,1,3,Yes,No,2,4,Yes,No,3,5,1,,,2.0,Yes,Yes,No
45057,2022-02-12 12:25:00,47,True,Male,30,Alberta,None,Part time employment,2,3,4,3,5,4,5,5,4,No,Yes,5,3,No,No,4,5,5,,,3.0,Yes,Yes,No
45058,2022-02-12 14:12:00,47,True,Female,54,Saskatchewan,None,Not working,1,3,3,3,5,3,5,5,4,Yes,No,3,4,No,No,3,5,5,,,1.0,,Yes,Yes
45059,2022-02-12 14:56:00,47,False,Male,74,Alberta,None,Retired,0,1,5,1,1,1,5,1,1,No,No,1,3,No,Yes,5,5,5,,,1.0,,Yes,No
45060,2022-02-12 15:14:00,47,False,Female,56,Ontario,None,Retired,0,3,5,3,5,5,3,3,3,No,No,7,6,No,No,3,4,3,,,3.0,,Yes,No
45061,2022-02-12 15:18:00,47,False,Female,28,Ontario,1 or 2,Full time employment,1,4,4,4,5,4,3,3,5,No,No,2,3,No,No,3,4,5,,5.0,3.0,No,No,Yes
45062,2022-02-12 15:41:00,47,True,Female,47,Alberta,None,Retired,2,4,4,4,5,5,5,5,5,No,No,3,5,No,No,5,5,5,,1.0,3.0,,Yes,Yes
45063,2022-02-12 15:44:00,47,True,Male,76,Ontario,None,Full time employment,3,4,3,5,5,5,5,1,4,Yes,No,7,6,No,No,2,5,3,,5.0,4.0,No,Yes,Yes
45064,2022-02-12 16:14:00,47,True,Male,50,Ontario,More than 3,Full time employment,1,2,2,2,5,4,4,2,2,Yes,No,3,3,No,No,3,1,1,,,3.0,Yes,No,Yes
45065,2022-02-12 16:18:00,47,True,Female,30,Alberta,None,Full time employment,1,3,5,5,5,4,4,5,5,Yes,No,2,4,No,No,5,5,4,,,3.0,Yes,No,No
45066,2022-02-12 16:27:00,47,False,Female,33,Ontario,More than 3,Full time employment,2,3,3,4,5,5,5,4,5,Yes,Yes,2,4,Yes,Yes,2,3,3,,1.0,3.0,No,No,No
45067,2022-02-12 16:40:00,47,True,Male,49,Manitoba,More than 3,Unemployed,0,3,3,3,5,5,2,4,3,No,Yes,3,4,No,Yes,4,4,4,,,3.0,,Yes,Yes
45068,2022-02-12 16:46:00,47,False,Male,71,Ontario,None,Retired,1,2,4,1,1,2,1,1,1,Not sure,No,2,4,No,No,1,1,1,,,3.0,,No,No
45069,2022-02-12 16:51:00,47,True,Male,71,Ontario,None,Part time employment,2,3,1,4,5,5,5,5,5,Yes,No,2,2,No,No,5,5,3,,5.0,2.0,No,Yes,Yes
45070,2022-02-12 16:53:00,47,False,Female,28,Ontario,None,Full time employment,2,4,3,3,5,5,5,4,4,No,Prefer not to say,3,5,No,No,5,5,5,,5.0,3.0,Yes,No,Yes
45071,2022-02-12 16:57:00,47,False,Male,20,Saskatchewan,More than 3,Unemployed,3,5,1,3,5,5,5,2,3,Yes,Yes,7,6,No,No,4,4,4,,5.0,3.0,,Yes,Yes
45072,2022-02-12 17:00:00,47,False,Female,66,New Brunswick / Nouveau-Brunswick,None,Not working,0,5,5,5,4,5,5,5,5,Not sure,Prefer not to say,2,1,No,No,5,4,5,,,1.0,,,No
45073,2022-02-12 17:12:00,47,True,Female,27,Ontario,1 or 2,Full time student,3,1,1,1,5,5,5,5,5,No,No,4,6,No,No,5,5,5,,,3.0,,,Yes
45074,2022-02-12 17:19:00,47,False,Female,55,Ontario,None,Not working,2,4,3,4,5,5,5,5,5,Yes,Yes,3,5,No,Yes,4,5,5,,5.0,3.0,,Yes,Yes
45075,2022-02-12 17:30:00,47,False,Female,61,Alberta,None,Not working,2,5,3,3,5,4,5,1,4,Yes,No,7,7,No,No,4,5,5,,,3.0,,Yes,No
45076,2022-02-12 17:32:00,47,False,Female,21,Nova Scotia / Nouvelle-Écosse,1 or 2,Full time student,2,5,2,4,5,5,5,5,4,Yes,Yes,2,1,No,Yes,4,5,5,,,1.0,,Yes,Yes
45077,2022-02-12 17:37:00,47,True,Male,72,Ontario,None,Retired,3,4,1,5,1,1,5,5,5,Yes,No,7,3,No,No,2,5,4,,5.0,3.0,,Yes,Yes
45078,2022-02-12 17:40:00,47,False,Female,84,Ontario,None,Retired,2,5,2,3,5,5,5,3,5,Yes,Yes,7,3,No,No,3,5,3,,3.0,3.0,,Yes,Yes
45079,2022-02-12 18:10:00,47,False,Male,68,New Brunswick / Nouveau-Brunswick,None,Retired,3,4,3,5,5,4,5,5,1,Yes,No,4,4,No,Yes,1,1,5,,5.0,2.0,,,Yes
45080,2022-02-12 18:10:00,47,True,Male,77,Ontario,1 or 2,Retired,3,3,1,5,5,5,5,5,5,No,No,6,4,No,No,5,5,4,,5.0,2.0,,Yes,Yes
45081,2022-02-12 18:12:00,47,False,Male,39,Ontario,1 or 2,Full time employment,3,4,1,5,4,5,5,4,4,Yes,Yes,3,3,No,No,4,5,4,,5.0,3.0,Yes,Yes,Yes
45082,2022-02-12 18:20:00,47,True,Male,75,Ontario,None,Retired,3,1,1,5,5,4,5,5,5,Yes,No,2,1,No,No,5,5,5,,5.0,3.0,,Yes,Yes
45083,2022-02-12 18:21:00,47,True,Female,38,Ontario,1 or 2,Part time employment,2,2,2,5,5,5,5,4,4,Yes,No,7,4,Yes,No,4,4,4,,,4.0,Yes,No,Yes
45084,2022-02-12 18:29:00,47,False,Female,24,Ontario,None,Full time employment,2,4,4,4,5,2,5,5,5,Yes,No,5,4,No,No,5,5,5,,,3.0,No,No,Yes
45085,2022-02-12 18:30:00,47,False,Female,75,Alberta,None,Retired,2,5,4,3,5,5,5,5,5,Yes,No,7,4,Yes,No,5,5,4,,5.0,3.0,,Yes,Yes
45086,2022-02-12 18:31:00,47,True,Male,19,Ontario,None,Full time employment,2,5,3,3,5,5,5,4,4,Yes,Yes,4,3,No,Yes,4,4,3,,,3.0,Yes,No,Yes
45087,2022-02-12 18:35:00,47,False,Male,57,Ontario,None,Full time employment,2,5,4,4,5,4,5,1,4,Yes,Yes,6,7,No,No,3,5,4,,,5.0,Yes,Yes,No
45088,2022-02-12 18:39:00,47,False,Female,31,Ontario,More than 3,Full time employment,0,4,5,5,5,5,5,3,5,Yes,Yes,5,1,No,No,5,3,3,,,1.0,Yes,No,No
45089,2022-02-12 18:39:00,47,False,Female,23,Manitoba,None,Full time student,3,3,1,3,5,5,4,2,3,Yes,Yes,4,6,No,Yes,1,1,3,,2.0,3.0,,No,Yes
45090,2022-02-12 18:47:00,47,True,Male,79,British Columbia / Colombie Britanique,None,Retired,3,2,2,5,5,5,5,5,3,Yes,No,3,3,No,No,2,1,2,,5.0,3.0,,Yes,Yes
45091,2022-02-12 19:27:00,47,False,Female,18,Ontario,1 or 2,Full time employment,0,1,5,1,2,1,1,1,1,No,Yes,1,1,Yes,Yes,1,1,1,,,3.0,Yes,No,No
45092,2022-02-12 19:33:00,47,False,Female,27,British Columbia / Colombie Britanique,None,Unemployed,2,4,5,2,5,3,5,2,5,Yes,Yes,6,6,No,No,5,5,5,,,3.0,,Yes,No
45093,2022-02-12 19:45:00,47,True,Male,83,Ontario,None,Retired,3,3,4,5,5,5,5,5,4,Yes,No,6,2,No,No,5,5,5,,5.0,2.0,,Yes,Yes
45094,2022-02-12 19:47:00,47,True,Female,25,Ontario,None,Full time employment,2,3,4,3,5,4,5,4,4,Yes,Yes,7,7,No,No,4,4,5,,3.0,3.0,Yes,No,Yes
45095,2022-02-13 14:26:00,47,True,Female,50,Alberta,1 or 2,Full time employment,2,1,4,3,5,4,4,2,4,Yes,No,7,7,No,No,4,4,4,,,3.0,Yes,Yes,Yes
45096,2022-02-12 20:11:00,47,True,Female,60,Alberta,None,Other,3,1,1,5,5,5,5,5,3,Yes,Yes,5,4,Yes,Yes,3,3,3,,5.0,3.0,,Yes,Yes
45097,2022-02-12 20:13:00,47,True,Male,60,Alberta,None,Retired,3,4,4,5,3,3,1,4,3,Yes,No,3,4,No,No,3,1,1,,5.0,2.0,,Yes,Yes
45098,2022-02-12 20:26:00,47,True,Female,35,New Brunswick / Nouveau-Brunswick,1 or 2,Full time employment,3,1,1,4,5,5,4,5,3,No,No,1,4,No,Yes,1,5,5,,,4.0,Yes,No,Yes
45099,2022-02-12 20:29:00,47,True,Female,71,Nova Scotia / Nouvelle-Écosse,None,Retired,2,4,4,2,5,5,5,5,4,Yes,No,7,5,No,No,4,5,3,,,1.0,,Yes,No
45100,2022-02-12 20:43:00,47,False,Female,19,Ontario,1 or 2,Full time student,2,4,3,4,5,5,3,3,3,Not sure,Yes,2,1,No,Yes,3,4,4,,4.0,2.0,,No,Yes
45101,2022-02-12 20:51:00,47,False,Male,66,Ontario,None,Part time employment,3,1,1,5,5,2,5,5,5,Yes,No,5,6,No,No,3,5,3,,5.0,4.0,Yes,No,Yes
45102,2022-02-12 20:58:00,47,False,Female,38,British Columbia / Colombie Britanique,More than 3,Full time employment,1,5,5,1,5,5,5,5,4,Not sure,No,7,4,No,No,5,5,2,,,3.0,Yes,No,No
45103,2022-02-12 21:00:00,47,True,Female,29,New Brunswick / Nouveau-Brunswick,1 or 2,Not working,0,1,5,1,5,1,2,1,1,Yes,No,1,1,No,No,2,1,1,,,1.0,,No,No
45104,2022-02-12 21:01:00,47,False,Male,65,Alberta,None,Full time employment,2,4,5,3,4,4,5,3,5,Yes,No,6,3,No,No,3,4,3,,,3.0,Yes,Yes,Yes
45105,2022-02-12 21:13:00,47,True,Female,18,Saskatchewan,None,Full time student,2,2,4,3,4,5,4,3,3,Yes,No,3,7,Yes,Yes,3,3,4,,,3.0,,No,No
45106,2022-02-12 21:22:00,47,True,Female,65,New Brunswick / Nouveau-Brunswick,None,Retired,2,1,3,1,5,5,5,5,5,Yes,Yes,3,4,No,No,1,5,5,,5.0,3.0,,Yes,Yes
45107,2022-02-12 21:24:00,47,False,Female,67,Ontario,None,Retired,2,3,2,3,5,5,5,1,4,Yes,No,3,4,No,No,3,5,3,,3.0,3.0,,Yes,Yes
45108,2022-02-12 21:33:00,47,True,Male,62,British Columbia / Colombie Britanique,None,Retired,3,3,2,4,5,5,5,5,5,Yes,No,6,7,No,No,5,5,5,,5.0,3.0,,Yes,Yes
45109,2022-02-12 21:44:00,47,True,Female,61,Manitoba,None,Not working,3,4,4,3,5,5,5,2,5,Yes,No,7,4,No,No,3,5,1,,5.0,3.0,,Yes,Yes
45110,2022-02-12 21:44:00,47,False,Female,68,Alberta,None,Retired,2,4,3,4,5,5,5,3,5,Yes,No,7,4,No,No,5,5,5,,1.0,3.0,,Yes,Yes
45112,2022-02-12 21:59:00,47,True,Female,23,Ontario,None,Full time student,3,4,3,2,5,4,5,5,4,Yes,No,3,5,Yes,No,4,5,5,,4.0,3.0,,No,Yes
45113,2022-02-12 22:03:00,47,True,Male,49,Ontario,None,Retired,2,3,3,3,5,5,5,5,5,Yes,Yes,4,4,No,No,5,5,5,,,3.0,,Yes,Yes
45114,2022-02-12 22:04:00,47,False,Male,69,New Brunswick / Nouveau-Brunswick,None,Full time employment,2,5,4,3,5,5,5,5,5,Yes,No,7,5,No,No,5,5,5,,5.0,3.0,Yes,No,Yes
45115,2022-02-12 22:08:00,47,True,Male,21,Ontario,1 or 2,Part time employment,2,3,2,3,4,3,4,2,4,Not sure,No,1,3,Yes,Yes,5,4,4,,,3.0,Yes,No,Yes
45116,2022-02-12 22:15:00,47,False,Female,23,Nova Scotia / Nouvelle-Écosse,1 or 2,Not working,1,5,4,3,5,5,5,5,5,Yes,Yes,7,2,No,No,4,5,5,,,5.0,,Yes,No
45117,2022-02-12 22:35:00,47,False,Female,30,Ontario,1 or 2,Full time employment,0,1,5,2,5,4,5,5,5,Yes,No,7,1,No,No,5,5,5,,,3.0,No,Yes,No
45118,2022-02-12 22:37:00,47,True,Female,21,Ontario,None,Not working,0,1,4,3,4,3,5,5,5,Yes,No,2,2,No,No,5,5,5,,,3.0,,Yes,No
45119,2022-02-12 22:59:00,47,True,Male,32,Manitoba,More than 3,Part time employment,1,5,3,2,2,3,5,5,3,Not sure,No,3,1,No,No,4,5,4,,,4.0,Yes,No,Yes
45120,2022-02-12 23:00:00,47,True,Male,61,Ontario,None,Full time employment,3,3,1,5,5,2,3,2,5,Yes,Yes,3,4,No,Yes,1,5,4,,5.0,3.0,Yes,Yes,Yes
45121,2022-02-12 23:02:00,47,False,Male,69,Alberta,1 or 2,Full time employment,2,5,3,5,5,5,5,5,5,Yes,No,7,6,No,No,5,5,5,,5.0,3.0,Yes,Yes,Yes
45123,2022-02-12 23:12:00,47,True,Male,78,British Columbia / Colombie Britanique,None,Retired,3,4,1,4,5,4,5,1,5,Yes,No,7,6,No,No,5,5,5,,5.0,3.0,,Yes,Yes
45124,2022-02-12 23:14:00,47,True,Female,50,Ontario,None,Not working,0,1,5,1,4,3,5,1,5,Not sure,Yes,7,1,No,No,3,1,1,,,3.0,,Yes,No
45125,2022-02-12 23:18:00,47,True,Female,22,Ontario,More than 3,Unemployed,0,3,2,4,3,5,5,5,5,Yes,No,3,6,No,No,5,5,5,,5.0,5.0,,No,Yes
45127,2022-02-12 23:35:00,47,False,Male,56,Ontario,1 or 2,Full time employment,2,1,1,1,3,2,1,1,1,No,No,1,1,No,No,1,1,1,,,3.0,Yes,No,Yes
45128,2022-02-12 23:36:00,47,False,Female,63,Ontario,More than 3,Retired,3,4,2,4,5,5,5,5,5,Yes,Yes,3,2,No,No,5,5,5,,4.0,1.0,,Yes,Yes
45129,2022-02-12 23:43:00,47,True,Male,54,Ontario,None,Full time employment,3,1,5,5,5,5,5,3,5,No,No,7,1,No,No,5,3,5,,,1.0,Yes,No,Yes
45130,2022-02-12 23:46:00,47,True,Female,51,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Not working,3,3,4,4,5,3,5,3,5,Yes,No,5,4,No,No,4,4,4,,5.0,3.0,,Yes,Yes
45131,2022-02-12 23:52:00,47,True,Female,49,Ontario,1 or 2,Full time employment,3,3,3,5,5,5,5,3,4,Yes,No,7,7,No,No,4,4,3,,5.0,3.0,Yes,Yes,Yes
45132,2022-02-13 00:19:00,47,False,Female,65,Alberta,None,Part time employment,0,3,5,1,3,5,5,4,2,Yes,No,4,7,No,No,1,5,5,,,3.0,No,Yes,Yes
45134,2022-02-13 00:46:00,47,False,Male,37,Alberta,Prefer not to say,Other,0,1,1,1,4,5,5,4,5,No,No,1,1,No,No,4,5,4,,,1.0,,No,No
45135,2022-02-13 00:54:00,47,True,Female,23,Ontario,None,Unemployed,2,2,3,2,5,5,5,4,4,No,No,4,5,No,No,4,4,5,,,3.0,,No,Yes
45136,2022-02-13 01:13:00,47,False,Female,26,British Columbia / Colombie Britanique,Prefer not to say,Other,1,1,5,3,5,5,5,4,5,Yes,No,1,1,No,No,5,3,4,,,3.0,,Yes,No
45137,2022-02-13 01:14:00,47,False,Female,51,Ontario,None,Part time employment,3,4,3,4,5,4,5,4,4,Yes,Yes,2,4,Yes,Yes,4,5,1,,,3.0,Yes,No,Yes
45139,2022-02-13 01:22:00,47,False,Female,34,Ontario,None,Full time employment,2,3,3,3,5,4,5,4,4,Yes,Yes,4,4,No,No,4,5,4,,,3.0,No,No,Yes
45140,2022-02-13 01:43:00,47,False,Female,22,Saskatchewan,None,Not working,2,4,1,4,5,4,5,3,3,No,No,5,6,No,Yes,3,3,3,,,3.0,,Yes,Yes
45141,2022-02-13 01:50:00,47,True,Female,34,Alberta,More than 3,Unemployed,2,5,3,5,5,5,5,4,4,Yes,Yes,4,6,No,No,4,4,4,,,3.0,,,No
45142,2022-02-13 01:55:00,47,False,Male,45,British Columbia / Colombie Britanique,1 or 2,Full time employment,1,2,5,3,5,4,4,5,4,Yes,No,3,5,No,No,5,5,4,,,3.0,Yes,Yes,No
45143,2022-02-13 01:58:00,47,True,Female,30,British Columbia / Colombie Britanique,None,Full time employment,2,5,3,5,5,5,5,3,3,Yes,No,7,7,No,No,3,4,3,,5.0,2.0,Yes,No,Yes
45144,2022-02-13 03:01:00,47,False,Female,41,Alberta,None,Unemployed,2,2,3,3,4,3,5,5,5,Yes,No,3,6,No,No,4,5,5,,1.0,3.0,,Yes,Yes
